,business_name,location,inspection_score
0,Tiramisu Kitchen,"(37.791116, -122.403816)",87.4
1,Nrgize Lifestyle Cafe,"(37.786848, -122.421547)",94.0
2,OMNI S.F. Hotel - 2nd Floor Pantry,"(37.792888, -122.403135)",96.3333333333
3,Norman's Ice Cream and Freezes,"(37.807155, -122.419004)",87.75
4,CHARLIE'S DELI CAFE,"(37.747114, -122.413641)",83.2
5,ART'S CAFE,"(37.764013, -122.465749)",92.5
6,SUSHI ZONE,"(37.771437, -122.423892)",82.5
7,RHODA GOLDMAN PLAZA,"(37.784626, -122.437734)",94.6666666667
8,CAFE X + O,"(37.742325, -122.426476)",91.3333333333
9,Oasis Grill,"(37.794483, -122.396584)",75.0
10,Chowders,"(37.80824, -122.410189)",93.3333333333
11,STARBUCKS,"(37.763578, -122.477461)",96.5714285714
12,Revolution Cafe,"(37.755419, -122.419542)",90.3636363636
13,DINO'S UNCLE VITO,"(37.788932, -122.433895)",88.8181818182
14,OMNI S.F. Hotel - 3rd Floor Pantry,"(37.792888, -122.403135)",98.0
15,OMNI S.F. Hotel - Employee Cafeteria,"(37.792888, -122.403135)",94.25
16,LAW SCHOOL CAFE,"(37.774941, -122.452797)",99.0
17,CLUB ED/BON APPETIT,"(37.778468, -122.448484)",93.3333333333
18,J.B.'S PLACE,"(37.765003, -122.398084)",78.6428571429
19,Vega,"(37.739207, -122.417447)",86.1578947368
20,XOX Truffles,"(37.801665, -122.412104)",95.0
21,J & M A-1 CAFE RESTAURANT LLC,"(37.794293, -122.405967)",76.0
22,Cable Car Corner,"(37.794615, -122.409705)",97.0
23,Akiko's Sushi Bar,"(37.788484, -122.410045)",88.8571428571
24,Rue Lepic,"(37.790868, -122.410854)",94.0
25,The Waterfront Restaurant,"(37.793874, -122.396464)",78.8571428571
26,Akikos Sushi,"(37.790643, -122.404676)",87.7272727273
27,Centerfolds,"(37.798233, -122.403637)",94.0
28,Broadway Dim Sum,"(37.797708, -122.408413)",74.7727272727
29,Silver Star Cafe and Deli,"(37.797668, -122.401125)",86.8
30,Mint,"(37.780247, -122.418974)",98.0
31,Cafe Madeleine,"(37.793268, -122.400323)",87.2
32,AFC SUSHI @ MOLLIE STONE'S 2,"(37.788773, -122.434697)",99.3333333333
33,DEJA VU PIZZA & PASTA,"(37.764713, -122.424709)",86.1538461538
34,BUS STOP PIZZA #1,"(37.771487, -122.437047)",91.0
35,CAFE COLE,"(37.769303, -122.450724)",92.5
36,Ladle & Leaf,"(37.789064, -122.402861)",93.2857142857
37,C & Y Cafe,"(37.793128, -122.401395)",73.2857142857
38,SECRET GARDEN TEA HOUSE,"(37.765933, -122.465809)",94.0
39,NENAS RESTAURANT,"(37.74146, -122.422484)",92.0
40,RADIO HABANA,"(37.755124, -122.420916)",96.6666666667
41,TAZA WRAPS & JUICE,"(37.723054, -122.483612)",94.5
42,COURTYARD BY MARRIOTT-STAFF KITCHEN,"(37.785614, -122.396693)",94.8
43,ARLEQUIN,"(37.777014, -122.422345)",91.0
44,BAYSIDE COFFEE SHOP,"(37.715126, -122.398901)",85.2
45,SUBWAY,"(37.741829, -122.388098)",93.6
46,JIM'S SMOKE SHOP,"(37.760568, -122.387772)",89.75
47,CONSTANS GROCERY,"(37.739961, -122.389003)",92.2857142857
48,SORABOL,"(37.792577, -122.393992)",100.0
49,PROGRESSIVE GROUNDS,"(37.739143, -122.417653)",92.6666666667
50,NOODLE EXPRESS,"(37.787076, -122.421822)",94.0
51,Grumpy's American Pub,"(37.799594, -122.400586)",85.0
52,Caffe Puccini,"(37.799087, -122.408488)",90.1818181818
53,New Moon Restaurant,"(37.797303, -122.408574)",80.7391304348
54,Gelato Classico Italian Ice,"(37.800543, -122.408784)",91.1111111111
55,Just Wonton,"(37.739063, -122.480409)",86.5714285714
56,MIKI RESTAURANT,"(37.775663, -122.497949)",76.5185185185
57,Toy Boat Dessert Cafe,"(37.782953, -122.46351)",85.8235294118
58,BEANERY INC.,"(37.764148, -122.464391)",96.0
59,Ann's Donut Coffee Shop,"(37.725949, -122.433906)",96.3333333333
60,Marche Club of S.F.,"(37.727983, -122.432101)",97.5
61,VIKINGS GIANT SUBMARINE,"(37.72404, -122.456539)",91.8
62,ASA SUSHI,"(37.800023, -122.442266)",77.1428571429
63,LOS HERMANOS,"(37.800767, -122.436924)",94.0
64,ON THE BRIDGE,"(37.785227, -122.431472)",78.25
65,HAI SUN RESTAURANT,"(37.800133, -122.431064)",75.9583333333
66,Ben & Jerry's,"(37.786548, -122.407313)",95.5
67,CORSAGNA,"(37.79826, -122.426748)",99.0
68,Inga Donuts,"(37.790347, -122.417227)",93.7142857143
69,PARMA RESTAURANT,"(37.799807, -122.437649)",96.0
70,HAI KY MI GIA,"(37.784193, -122.417967)",73.0
71,PUNJAB KABAB HOUSE,"(37.784303, -122.409647)",79.0526315789
72,BISTRO AIX,"(37.800187, -122.437756)",84.8571428571
73,Bamboo Restaurant,"(37.790134, -122.420634)",87.5333333333
74,YUKOL PLACE THAI CUISINE,"(37.799287, -122.440624)",93.6
75,SUBWAY,"(37.794134, -122.423234)",78.1818181818
76,MOULIN ROUGE,"(37.786084, -122.417889)",75.875
77,PACIFIC CATCH,"(37.800763, -122.436536)",86.3636363636
78,The Posh Bagel,"(37.760954, -122.434935)",90.0909090909
79,FIRST CUP,"(37.802454, -122.424854)",94.0
80,NAPOLI PIZZA RESTAURANT,"(37.786545, -122.419894)",77.5263157895
81,WAYO,"(37.788609, -122.42213)",97.0
82,TEN ICHI RESTAURANT,"(37.790333, -122.434144)",84.4
83,Miyako,"(37.783017, -122.432584)",87.0
84,Polkers,"(37.797296, -122.421967)",77.8947368421
85,GORDO TAQUERIA #2,"(37.758941, -122.48591)",92.0
86,GIANT SCOOP,"(37.727468, -122.403582)",81.1
87,King Ling,"(37.786543, -122.414536)",92.0
88,RINCONSITO SALVADORENO,"(37.73571, -122.424528)",88.0
89,REINA RESTAURANT,"(37.712927, -122.444358)",87.3076923077
90,ADELITA'S CAKES,"(37.736304, -122.424432)",85.1578947368
91,CAFE ELENA,"(37.794347, -122.394932)",100.0
92,SUPER STAR RESTAURANT,"(37.719692, -122.438575)",87.6666666667
93,SF MARRIOTT HOTEL PANTRY 5/F,"(37.784964, -122.404752)",98.0
94,SF MARRIOTT HOTEL PANTRY 4/F,"(37.784964, -122.404752)",97.6
