,business_name,location,inspection_score,foursquare_id,foursquare_name
0,Tiramisu Kitchen,"(37.791116, -122.403816)",87.4,4ae289b9f964a520e78e21e3,Cafe Tiramisu
1,Nrgize Lifestyle Cafe,"(37.786848, -122.421547)",94.0,4c1a7695eac020a1105043c2,Nrgize Lifestyle Cafe
2,OMNI S.F. Hotel - 2nd Floor Pantry,"(37.792888, -122.403135)",96.3333333333,,
3,Norman's Ice Cream and Freezes,"(37.807155, -122.419004)",87.75,4bb7d9273db7b71353aa209a,Norman's Ice Cream & Freezes
4,CHARLIE'S DELI CAFE,"(37.747114, -122.413641)",83.2,4ab90c8bf964a520d27d20e3,Charlie's Deli Cafe
5,ART'S CAFE,"(37.764013, -122.465749)",92.5,3fd66200f964a52019f11ee3,Art's Cafe
6,SUSHI ZONE,"(37.771437, -122.423892)",82.5,4c1f9a12b306c92885ad68b7,Sushi Zone
7,RHODA GOLDMAN PLAZA,"(37.784626, -122.437734)",94.6666666667,4dbcbee46e810768bf678f0f,Rhoda Goldman Plaza
8,CAFE X + O,"(37.742325, -122.426476)",91.3333333333,44d756a9f964a52068361fe3,Cafe XO
9,Oasis Grill,"(37.794483, -122.396584)",75.0,4a6f5d0ef964a520fdd51fe3,Oasis Grill
10,Chowders,"(37.80824, -122.410189)",93.3333333333,4aff1091f964a520b53322e3,Chowders
11,STARBUCKS,"(37.763578, -122.477461)",96.5714285714,4a898355f964a520350820e3,Starbucks
12,Revolution Cafe,"(37.755419, -122.419542)",90.3636363636,4a75206cf964a5209de01fe3,Revolution Cafe
13,DINO'S UNCLE VITO,"(37.788932, -122.433895)",88.8181818182,,
14,OMNI S.F. Hotel - 3rd Floor Pantry,"(37.792888, -122.403135)",98.0,,
15,OMNI S.F. Hotel - Employee Cafeteria,"(37.792888, -122.403135)",94.25,4a5ae9a1f964a520e0ba1fe3,Omni San Francisco Hotel
16,LAW SCHOOL CAFE,"(37.774941, -122.452797)",99.0,4eb0566db634097eca962764,Law School Cafe
17,CLUB ED/BON APPETIT,"(37.778468, -122.448484)",93.3333333333,,
18,J.B.'S PLACE,"(37.765003, -122.398084)",78.6428571429,49b7e0c6f964a5202f531fe3,JB's Place
19,Vega,"(37.739207, -122.417447)",86.1578947368,4b2edd7df964a520a2e724e3,Vega
20,XOX Truffles,"(37.801665, -122.412104)",95.0,4a33fcb1f964a520859b1fe3,XOX Truffles
21,J & M A-1 CAFE RESTAURANT LLC,"(37.794293, -122.405967)",76.0,50043438e4b0f448ea4f447f,UNIQLO
22,Cable Car Corner,"(37.794615, -122.409705)",97.0,558201ef498e75545b89623d,cable car corner
23,Akiko's Sushi Bar,"(37.788484, -122.410045)",88.8571428571,49c02958f964a5204e551fe3,Akiko's Sushi Bar
24,Rue Lepic,"(37.790868, -122.410854)",94.0,44931d76f964a5207b341fe3,Rue Lepic
25,The Waterfront Restaurant,"(37.793874, -122.396464)",78.8571428571,4a10af0af964a520f4761fe3,Waterfront Restaurant
26,Akikos Sushi,"(37.790643, -122.404676)",87.7272727273,49c02958f964a5204e551fe3,Akiko's Sushi Bar
27,Centerfolds,"(37.798233, -122.403637)",94.0,4a6bdfaaf964a52027d01fe3,Centerfolds
28,Broadway Dim Sum,"(37.797708, -122.408413)",74.7727272727,4b8b1a2ff964a520fb9232e3,Broadway Dim Sum & Café
29,Silver Star Cafe and Deli,"(37.797668, -122.401125)",86.8,4a04c662f964a5202c721fe3,Good Luck Cafe & Deli
30,Mint,"(37.780247, -122.418974)",98.0,3fd66200f964a5204bed1ee3,Mint Karaoke Lounge
31,Cafe Madeleine,"(37.793268, -122.400323)",87.2,49beb50df964a520c9541fe3,Cafe Madeleine
32,AFC SUSHI @ MOLLIE STONE'S 2,"(37.788773, -122.434697)",99.3333333333,,
33,DEJA VU PIZZA & PASTA,"(37.764713, -122.424709)",86.1538461538,4a614a4bf964a52042c21fe3,Deja Vu Pizza Restaurant
34,BUS STOP PIZZA #1,"(37.771487, -122.437047)",91.0,49f48658f964a520146b1fe3,Bus Stop Pizza
35,CAFE COLE,"(37.769303, -122.450724)",92.5,4a6cc05cf964a52084d11fe3,Cafe Cole
36,Ladle & Leaf,"(37.789064, -122.402861)",93.2857142857,565f5647498e08a5f06d2a0c,Ladle & Leaf
37,C & Y Cafe,"(37.793128, -122.401395)",73.2857142857,49c94f32f964a52054581fe3,Yerba Buena Gardens
38,SECRET GARDEN TEA HOUSE,"(37.765933, -122.465809)",94.0,43cc0a22f964a520c82d1fe3,Japanese Tea Garden
39,NENAS RESTAURANT,"(37.74146, -122.422484)",92.0,4afb1fcbf964a520561b22e3,Nena's Restaurant
40,RADIO HABANA,"(37.755124, -122.420916)",96.6666666667,4a314a26f964a520ad991fe3,Radio Havana Social Club
41,TAZA WRAPS & JUICE,"(37.723054, -122.483612)",94.5,4ab01b19f964a520eb6520e3,Taza Smoothies and Wraps
42,COURTYARD BY MARRIOTT-STAFF KITCHEN,"(37.785614, -122.396693)",94.8,45524764f964a520f13c1fe3,Courtyard San Francisco Downtown
43,ARLEQUIN,"(37.777014, -122.422345)",91.0,49eb8289f964a520ea661fe3,Arlequin Cafe & Food To Go
44,BAYSIDE COFFEE SHOP,"(37.715126, -122.398901)",85.2,51576604e4b0c81376910a58,Bayside Coffee Shop
45,SUBWAY,"(37.741829, -122.388098)",93.6,4b8091dcf964a520a17d30e3,SUBWAY
46,JIM'S SMOKE SHOP,"(37.760568, -122.387772)",89.75,4e148833483bfda2e0a6a242,Jim's Smoke Shop & Sandwiches
47,CONSTANS GROCERY,"(37.739961, -122.389003)",92.2857142857,4a6227a0f964a5203bc31fe3,Good Life Grocery
48,SORABOL,"(37.792577, -122.393992)",100.0,4ae9eb5af964a520a2b721e3,Sorabol
49,PROGRESSIVE GROUNDS,"(37.739143, -122.417653)",92.6666666667,3fd66200f964a520caec1ee3,Progressive Grounds
50,NOODLE EXPRESS,"(37.787076, -122.421822)",94.0,527a9eaf498e898cfa4cade4,Noodle (Kyoto) Express
51,Grumpy's American Pub,"(37.799594, -122.400586)",85.0,3fd66200f964a52029ed1ee3,Grumpy's American Pub
52,Caffe Puccini,"(37.799087, -122.408488)",90.1818181818,445a74d6f964a520e5321fe3,Caffe Puccini
53,New Moon Restaurant,"(37.797303, -122.408574)",80.7391304348,4bf09d8917880f47738e2937,New Moon
54,Gelato Classico Italian Ice,"(37.800543, -122.408784)",91.1111111111,4b651a7ef964a52043e42ae3,Gelato Classico
55,Just Wonton,"(37.739063, -122.480409)",86.5714285714,4b04b453f964a520385622e3,Just Won Ton
56,MIKI RESTAURANT,"(37.775663, -122.497949)",76.5185185185,4af10e94f964a520a7e021e3,Miki Restaurant
57,Toy Boat Dessert Cafe,"(37.782953, -122.46351)",85.8235294118,473b4138f964a5205a4c1fe3,Toy Boat Dessert Cafe
58,BEANERY INC.,"(37.764148, -122.464391)",96.0,4a64a1cff964a52063c61fe3,Beanery Inc.
59,Ann's Donut Coffee Shop,"(37.725949, -122.433906)",96.3333333333,4b65eb71f964a5205b082be3,Ann's Donut & Coffee Shop
